Country,Time,HICP (SA)
JP,2018-08,99.87125397361156
JP,2018-09,99.86588609574594
JP,2018-10,99.89542539703345
JP,2018-11,99.71530233041003
JP,2018-12,99.49634932287024
JP,2019-01,99.6853902355847
JP,2019-02,99.80701734041398
JP,2019-03,99.78178851701216
JP,2019-04,100.02477147623351
JP,2019-05,100.0506953334044
JP,2019-06,100.05355836508483
JP,2019-07,100.06111913534733
JP,2019-08,100.02668677243805
JP,2019-09,100.12928636854421
JP,2019-10,100.11271866592271
JP,2019-11,100.169805448458
JP,2019-12,100.26864079598533
JP,2020-01,100.4477037140282
JP,2020-02,100.40304304888731
JP,2020-03,100.37385078017124
JP,2020-04,100.22552216986664
JP,2020-05,100.18640993992474
JP,2020-06,100.22295003249197
JP,2020-07,100.24941532486861
JP,2020-08,100.12900383265136
JP,2020-09,100.00790996669824
JP,2020-10,99.47646701379854
JP,2020-11,99.17440988350386
JP,2020-12,99.05004405820438
JP,2021-01,99.5746097535387
JP,2021-02,100.00936649618397
JP,2021-03,100.0198985522645
JP,2021-04,99.11973471657268
JP,2021-05,99.50045297451425
JP,2021-06,99.85022402930153
JP,2021-07,99.9034956586326
JP,2021-08,99.72825404591494
JP,2021-09,100.20239709410163
JP,2021-10,99.55762451597366
JP,2021-11,99.77682774512365
JP,2021-12,99.85206877020117
JP,2022-01,99.94094220418019
JP,2022-02,101.02075423249897
JP,2022-03,101.30156006600173
JP,2022-04,101.52443883358983
JP,2022-05,101.88495797290682
JP,2022-06,102.11313336236043
JP,2022-07,102.44686031622122
JP,2022-08,102.70066796957983
JP,2022-09,103.1954816439515
JP,2022-10,103.486542893315
JP,2022-11,103.61144970822737
JP,2022-12,103.86209005898942
JP,2023-01,104.240545812928
JP,2023-02,104.32708639032074
JP,2023-03,104.63539555391098
JP,2023-04,105.13621791220376
JP,2023-05,105.16626759243144
JP,2023-06,105.47503592317811
JP,2023-07,105.80081218873796
JP,2023-08,105.87802183026947
JP,2023-09,106.30956637980734
JP,2023-10,107.01672479623022
JP,2023-11,106.69077723300668
JP,2023-12,106.53442716748636
JP,2024-01,106.33815229218366
JP,2024-02,107.2104472047458
JP,2024-03,107.45194715544689
JP,2024-04,107.74307106542852
JP,2024-05,108.14511912494345
JP,2024-06,108.42902853242732
JP,2024-07,108.65066168264882
JP,2024-08,109.05572468470291
JP,2024-09,109.0266271556302
JP,2024-10,109.58796898699602
JP,2024-11,109.89431288574018
JP,2024-12,110.38762925313142
JP,2025-01,110.54625166564273
JP,2025-02,111.07593871695244
JP,2025-03,111.35728651939475
JP,2025-04,111.55341336121519
